"x"
"HDAC3"
"COPS8"
"TRMT112"
"SLC52A2"
"FZR1"
"GFPT1"
"ZSWIM8"
"DIMT1"
"MAK16"
"UAP1"
"FTSJ3"
"HEATR1"
"CHD8"
"RPL13A"
"DDX54"
"RPL19"
"UTP23"
"RFK"
"RQCD1"
"PPP6C"
"UFSP2"
"TNPO1"
"SMG9"
"ALG13"
"NIFK"
"OGT"
"AMBRA1"
"YARS"
"ARPC4"
"EIF3H"
"DDX18"
"RPL8"
"RPL3"
"WDR18"
"AAMP"
"TSR2"
"CINP"
"RAC2"
"POLR1C"
"RB1"
"UBTF"
"RPL23A"
"NUP93"
"FMNL1"
"PSMC6"
"PWP1"
"POU2F1"
"TSPAN17"
"YBX1"
"CEBPZ"
"WRB"
"ID3"
"TEX10"
"METAP2"
"PNISR"
"USP9X"
"SBDS"
"IMP3"
"NOP2"
"NSA2"
"WDR12"
"CDK5RAP3"
"PSD4"
"SDAD1"
"UTY"
"RPL18A"
"ZNF236"
"C1orf109"
"GCH1"
"EIF2B4"
"LHFP"
"GNL3L"
"WASF2"
"TTC4"
"RPL17-C18orf32"
"COPS2"
"WDR43"
"ZNHIT6"
"SPAG7"
"BRK1"
"POLR1E"
"RPS11"
"USP5"
"GAR1"
"RPL5"
"KIAA0040"
"NMD3"
"MOB4"
"GTF3C4"
"PIGC"
"ALG6"
"GRM2"
"ADAM10"
"DYRK1A"
"PAK3"
"C12orf45"
"NADK2"
"TSEN2"
"FUT10"
"PPP1R15B"
"UBE2J1"
"VPS39"
"TAF1B"
"ATRIP"
"TAF4"
"C10orf90"
"RABAC1"
"MRPL3"
"RPP30"
"NOLC1"
"RBM17"
"STAT5B"
"ACTR3"
"ZNF506"
"UBAP2L"
"UTP3"
"CKAP2"
"MYBBP1A"
"NOL10"
"COPS5"
"NLE1"
"SFPQ"
"GLTSCR2"
"STRN4"
"COL17A1"
"TADA2A"
"ASUN"
"RRAGC"
"AKIRIN1"
"RSL1D1"
"TMOD3"
"PPP2R2A"
"AOC3"
"NDC1"
"HABP4"
"DDX3X"
"RPLP2"
"GMPPB"
"FH"
"BHLHB9"
"SLC8B1"
"EFNB3"
"NOL9"
"HSPA14"
"UBE2G2"
"CXorf56"
"NOP58"
"PES1"
"SRRD"
"WDR5"
"RPL31"
"MED14"
"SUPT4H1"
"FOXO1"
"XPO4"
"TADA2B"
"TOP1"
"LEO1"
"MED11"
"SEC23B"
"NFKBIA"
"PHB"
"TTC5"
"SEC23IP"
"BBS1"
"MED8"
"MBTPS2"
"SUPT6H"
"SEC31A"
"SUPT5H"
"UQCR10"
"VPS26A"
"HIRA"
"DDRGK1"
"ASB16"
"ODC1"
"DOCK2"
"TIPARP"
"UFC1"
"DOLPP1"
"TRAPPC4"
"DDX49"
"UGP2"
"COG1"
"VPS35"
"INPP5D"
"CHKA"
"C2orf81"
"NBAS"
"EMC6"
"UPF1"
"ATP5H"
"MED14OS"
"MED30"
"RPTOR"
"BTF3"
"EIF5"
"COG3"
"RASAL1"
"SMPDL3A"
"SEC24C"
"LTBP3"
"CHD1"
"ARHGEF2"
"ATF7IP"
"GTF2A2"
"HES7"
"ZBTB7B"
"SLC33A1"
"POLR2C"
"KAT7"
"ITSN2"
"HMX1"
"TMEM41B"
"RBM10"
"KAT6B"
"MED19"
"PTPRJ"
"RNF186"
"CDK2AP2"
"MED10"
"AGMAT"
"MTX1"
"HEMGN"
"ACTR2"
"ERCC3"
"IWS1"
"NIPA2"
"TRIM55"
"MED4"
"BOP1"
"OR52N2"
"HIVEP3"
"ASF1A"
"MZT2B"
"MSRB2"
"TFEC"
"PKN2"
"WTH3DI"
"ARAP1"
"MED7"
"RCOR1"
"SMG7"
"RPS6KB1"
"UPF3B"
"TAF8"
"WDR4"
"GABPA"
"SASH3"
"PCBP2"
"EIF4G2"
"RORB"
"GCN1L1"
"USP24"
"SLTM"
"LAMTOR2"
"EIF3J"
"CYTH1"
"TADA1"
"ATXN10"
"ARID4A"
"GNRH2"
"SMG5"
"GNB1L"
"RUNX1"
"TCEA1"
"RPL34"
"SIAH2"
"CNOT11"
"HIST1H4J"
"REL"
"TNFRSF11A"
"MEN1"
"C19orf43"
"STRAP"
"MNAT1"
"PTPMT1"
"ELAC2"
"CD79B"
"EIF3M"
"HIATL1"
"CHTOP"
"NUP214"
"HSBP1"
"PA2G4"
"C12orf10"
"DENND5A"
"DLL3"
"APH1A"
"IL6R"
"NOP56"
"RPS6KA4"
"RPL27"
"ZZZ3"
"WDR61"
"LRP1"
"DHDDS"
"ZMYM1"
"FFAR2"
"MTMR6"
"FBXO3"
"TBL1XR1"
"ATXN2L"
"PPP1R35"
"JOSD1"
"THSD1"
"RIOK1"
"GPKOW"
"RIPK1"
"FAM76A"
"PSMD12"
"CTLA4"
"FUT2"
"ATXN7L3"
"C11orf24"
"CCDC115"
"UBE2G1"
"IMPA1"
"CAMTA2"
"ZNF138"
"AAMDC"
"ST20"
"GPR155"
"C12orf75"
"C19orf47"
"CSTF2"
"PPP6R2"
"CDK4"
"OTUD1"
"PPP1R12C"
"ICAM2"
"ARPC3"
"KCTD11"
"IL13RA1"
"FAM3B"
"BCL2"
"ZC3H13"
"U2AF1"
"PRMT1"
"RPRD2"
"ARGLU1"
"HNRNPL"
"NONO"
"API5"
"MATR3"
"MED12"
"SCAF8"
"SAFB"
"FUBP1"
"DHX29"
"RNGTT"
"MAU2"
"METTL14"
"MSI2"
"KIAA1429"
"PAF1"
"ILF2"
"KHSRP"
"MED28"
"SMARCA5"
"RNMT"
"UHRF1"
"WTAP"
"MSL3"
"WDR82"
"NIPBL"
"CBLC"
"TCERG1"
"TPI1"
"CLK2"
"SRP9"
"RBM15"
"DOPEY2"
"XPO5"
"TP53"
"ELAVL1"
"MED23"
"DHODH"
"HNRNPM"
"CUL3"
"ARHGAP33"
"GPS2"
"RRP1B"
"ZNF532"
"AMD1"
"SRM"
"CARM1"
"PAN3"
"PKNOX1"
"PPP1R8"
"NUDCD3"
"BNIP3L"
"ZMYND8"
"S100A4"
"U2AF2"
"MED21"
"NSUN2"
"ASB7"
"INTS5"
"S100A13"
"SETD2"
"HNRNPD"
"RTF1"
"FAM122C"
"C7orf26"
"TCEB3"
"DCPS"
"ZFR"
"VPS72"
"PLCB2"
"DGCR8"
"DNMT1"
"SNRPA"
"CSK"
"TRIM56"
"TMX2"
"CADM4"
"ZNF267"
"PARP8"
"CEACAM21"
"PRKD2"
"ISG20"
"C1orf216"
"SMARCD1"
"DMTF1"
"WAC"
"BPTF"
"MED24"
"SRP14"
"PPP2R1A"
"GTF3A"
"GATAD2B"
"GGN"
"RFX1"
"USP47"
"TRIM11"
"KCNQ5"
"CUL4B"
"ANKRD17"
"SCAF1"
"SLC35A2"
"DDX42"
"IMPDH1"
"MYO1G"
"KIRREL2"
"COLEC11"
"FOXE3"
"EGR3"
"AFF2"
"CSNK2A2"
"CSNK2A1"
"TRIP12"
"TSC2"
"JADE3"
"CCNC"
"USP22"
"CABIN1"
"CREBBP"
"TAF1"
"HDAC7"
"PPP1CA"
"ZNF592"
"MTA2"
"SSRP1"
"BRD1"
"PAXIP1"
"TNIP1"
"INTS1"
"STAG2"
"SRSF1"
"ENY2"
"GSKIP"
"DRAP1"
"SETD1B"
"MEF2BNB-MEF2B"
"ISL2"
"MEF2C"
"UBE2K"
"ATF7IP2"
"ZBTB1"
"NSFL1C"
"HDAC8"
"PRDX5"
"MED6"
"MARK2"
"MED27"
"ARHGAP30"
"ING5"
"STIP1"
